"","x"
"520","방구석 한남이 정부기관에서 실시한 설문조사 신빙성을 따지네 큐ㅠㅠㅠ 진짜 끝까지 한녀 못잃은꼴 애잔하다 ㅋㅋㅋ"
"521","대한민국 현실 반영 오졌네요. “해줘”"
"522","한남들 웃긴점: 현실은 밖에 나가면 한국 여자들 90퍼 이상은 깨어있어서 페미하는데 혼자 방구석에서 음침하게 페미... 타닥 타닥... 아닌... 타닥... 여성... 타닥 타자치고 있음 ㅋㅋㅋ 끝까지 한녀 못잃는 꼴 추하다 추해!"
"523","성폭력 1위 국가 운운하는 김치 한녀들은 인도가서 살아라"
"524","라샹족인가 뭔가가 지금 페미랑 똑같잖아 묘족들이 라샹족인 자기들 보다 더 가지고 있다고 생각하고평등을 부르짖었지만 평등하게 노력하려고 하지 않고몰아낸다면 지위와 재물을 차지할 수 있을 거라고 생각하고그들 중 누구도 거대한 부유함을 조종하거나 적과 싸울 능력을 갖춘 자는 없었다고부유함을 조종하는 건 군을 통제하는 것이라고 생각하면 될 거 같고 그 외에는 다 똑같이 볼 수 있는 거 같네라샹족의 행동을 페미에 대입하면 너무나도 딱 맞아떨어짐 비판 아니겠나 싶은데?적어도 의미 없는 건 아닌 거 같아 보인다"
"525","대깨문 & 페미 저격ㅋㅋㅋㅋ"
"526","전수조사가 뭔진알려나 근데"
"527","댓글이 너무 무거워 언냐들ㅠㅠ"
"528","페미들은 ㄹㅇ 단어선택이나 글싸놓은거 어순만 봐도 지능이 낮아보이네 ㅋㅋㅋㅋ"
"529","어휴... 겜하다 패드립박는 한남답게 바로 부모님 드립나오네..."
"530","저렇게 살면 엄빠 억장 진짜 개박살날듯 ㅇㅇ 내 자식이 저러는 꼴 볼빠에는 내쫓고 연 끊고 살련다... 인간의 탈을 뒤집어쓴 바퀴벌레 이하의 무언가구만"
"531","작가가 자신의 웹툰에서 사회를 풍자하던 본인의 방향성을 이야기하건 어떤 방향이든지 그건 본인의 표현의 자유다. 그리고 독자 역시 작가의 작품을 보고 어떤 방식으로든 해석할 수 있고, 얘기할 수 있는 자유가 있다.그런데 단순히 '사회적이슈를 얘기한다, 웹툰이랑 딴소리다, 분장조성이다.'라는 이유로 말을 하지말고, 댓글을 내리라는 내용은 언론통제하고 여론조작하는거랑 무슨 차이가 있지? 그런 부분들은 분노하고 욕하면서 이런 조그만 표현의 자유조차 제한을 요구하는 글들을 보면 참 안타깝다는 생각이드네."
"532","페미 저격하니깐 바로 부들대네 ㅋ"
"533","페미 이야기구만"
"534","해줘!"
"535","누구도 한녀라 한적이 없고 페미라 했다 ㅋㅋㅋㅋㅋ 설마 한국여자를 전부 페미랑 동일시하는거야? 버섯이 지능 레전드찍네 오늘"
"536","한녀랑 똑같은게 아니라 한남이랑 똑같지 여혐종자야 ㅉㅉ"
"537","라샹족인가 뭔가가 지금 페미랑 똑같잖아 묘족들이 라샹족인 자기들 보다 더 가지고 있다고 생각하고평등을 부르짖었지만 평등하게 노력하려고 하지 않고몰아낸다면 지위와 재물을 차지할 수 있을 거라고 생각하고그들 중 누구도 거대한 부유함을 조종하거나 적과 싸울 능력을 갖춘 자는 없었다고부유함을 조종하는 건 군을 통제하는 것이라고 생각하면 될 거 같고 그 외에는 다 똑같이 볼 수 있는 거 같네라샹족의 행동을 페미에 대입하면 너무나도 딱 맞아떨어짐 비판 아니겠나 싶은데?적어도 의미 없는 건 아닌 거 같아 보인다또 이글 보고 열받아서 쿵쾅쿵쾅ㅋ"
"538","ㅋㅋㅋㅋㅋㅋㅋ 니들 성희롱은 안보이나보다 ㅋㅋㅋㅋㅋ 눈깔달아 머하노 지들 꼬라지도 못보는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"539","좌파 페미 열폭 ㅆㅅㅌㅊ~"
"540","진짜 요즘 신의탑은 한편 볼때마다 애니보는 느낌이네 레전드다"
"541","폐미쿵쾅들은 대부분 백수야? 점심을 안먹어? 점심시간 인뎅? 빨리 않먹으면 점심시간 끝나 댓글그만달고 밥먹으로가ㅅㄱ"
"542","한남들 논리로 밀리니까 성희롱 나오는거봐 ㅋㅋㅋ 이러니 성폭력 세계 1위 국가지 ㅋㅋㅋ"
"543","ㅋㅋㅋㅋㅋㅋㅋㅋ 지가하는 성희롱은 팩트고 우리가 말하는건 천박한거야? 야 어쩌냐 우리도 팩트인데 ㅋㅋㅋㅋ 살쪄서 뚱뚱한 걸 가슴이랑 엉덩이가 섹시하다고 착각하는거 아냐?"
"544","저런애들이 일상에서 아무렇지 않게 행동할 생각하니 소름돋네"
"545","작가님 분량 미쳤네요.. 거의 끝나가는가 싶어서 스크롤 확인하면 아직도 위에있고.. 재밌게 봤습니다"
"546","팩트가 많이 아프셨긔 ㅠㅠㅠ"
"547","6.9는 팩트인데 큐ㅠㅠㅠㅠ"
"548","송이버섯 쟤는 진짜 개웃기네 ㅋㅋㅋㅋㅋ 니가말한 6.9는 논리냐 그럼? 말하는 거 하나하나가 자충수네 ㄹㅇㅋㅋ"
"549","한남들 쿵쾅이라고 프레임씌우면서 비만율은 되려 더 높던데 점심좀 그만 먹어!"
"550","페미 ㅈㄴ많네 진짜 ㅋㅋ"
"551","점심 먹으러 가야해. 폐미들아 열심히 댓글달어^^"
"552","어휴... 무골반 무슴가래 ㅋㅋㅋ 한남들 또 논리로 안되니까 천박함 나온다 ㅋㅋㅋ"
"553","잼민이들은 마냥 엑스트라 과거이야기 왜 넣었냐고 찡찡대네 ㅋㅋ"
"554","딱 라샹족이 공산당 마인드 깨문이들이네 ㅋㅋ"
"555","여혐웹툰이랑 소녀의 세계랑 비교를 왜함;; 기분나쁘게"
"556","양남들한테 국방 “해줘” 엄마한테 밥 “해줘” 한녀들한테 연애 출산 “해줘” 군가산점으로 여성차별 “해줘” 세대 역대급 “해줘” 세대 그남들..."
"557","유한성 본인이 태생부터 사기꾼이라고 인정했어...! 그나저나 도대체 정체가 뭔가요? 유한한 파편이라니..."
"558","굳이 저놈의 이야기를 봐야할 이유가 있나?쉬다 돌아와서는 혓바닥이 너무 길어졌다본인의 깜냥에 맞게 그리길"
"559","또 쿵쾅되네 찔리나보다 ㅋㅋ"
"560","분량 어떻게 돼먹은거야 ㅋㅋ 말도안되네"
"561","대사 왤케 오글거리지? 항마력 딸린다"
"562","전이만 현생페미련들 족치러가겠습니다페미박멸되는 날까지 화이팅"
"563","라샹족 = 무골반 무슴가 무응딩이 한녀 ㅋㅋ"
"564","이악물고ㅂㄷㅂㄷ 하는중 쒸익쒸익ㅋ 무지성으로 본일말만싸니 반박하는게 시간낭비"
"565","쟤네 잘하는 거 딱 하나 있는듯. 본인얘기를 남얘기마냥 포장하는 거 하나는 잘하네"
"566","라샹족=한남"
"567","라샹족=페미언냐들"
"568","아 실버타운 관계자분들께 사죄드립니다 ㅠㅠ 현실을 모르는 페미들을 패느라 관계없는 실버타운 관계자님들께 폐를 끼쳤습니다"
"569","아무것도 못하는 한남들이 한국 여성들 저격한다고 신나하지만 알고보면 본인 저격에 깔깔대고 있는 모습입니다"
"570","탈코한다고 여자가 남자처럼 보이면... 어좁이에 근육없는 한남 탓아닌가? 양남은 여장해도 체격때문에 남자같던데 ㅎㅎ"
"571","여기가 그 혼자서는 아무것도 못하는 페미들이 꿀꿀대는 곳인가요"
"572","스나이퍼 막말하네아니 실버타운은 아무나 아니 아무거나 받아주는덴가???실버타운 폄하하지마세요"
"573","“평등을 부르짖었지만 평등하게 노력하려고 하지는 않았다.” ㄹㅇ명언이다"
"574","길가서 폐미한녀 반폐미 한남 설문조사하면 폐미 한녀완패죠ㅋㅋ 자기들이 도태됬는데 폐미한녀들 얼른 세탁이나해~ㅋ 어쩌니 혼자 늙어서 댓글이나 싸지르고다니겠네ㅎ"
"575","팩트: 남자들은 나 남잔데~ 이딴소리 안한다. 높은확률로 나 남잔데~ 는 여자다"
"576","페미들은 왜 현실에서 한남인척 탈코하고 댕기는거임"
"577","양남이 페미 줘패는 영상 많다니까 ㅋㅋㅋ 현실부정의 단계에 들어섰구나 너? 아무도 안들어주는 모순된 사상 지들끼리 물고빨고하다 나란히 실버타운에서 뒈지는 미래가 보인다"
"578","나 여잔데 ㅋㅋㅋ 한남들은 왜 웹상에서 여자인척을 못해서 안달일까? 진짜 애잔하다 ㅠㅠㅠㅠ"
"579","페미야 작작해라 여기에서 그런 말 해서 웹툰 보러온 독자들 눈 찌푸려지게 하지마셈"
"580","ㄹㅇ 저정도면 리플리 증후군 아니냐ㅋㅋ 지가 믿고 싶은거만 믿는데"
"581","페미 세탁이래 ㅋㅎㅋ 현실은 한남들 말고 양남들 사이에서는 페미가 유행인데 ㅎㅎ 트렌드 못따라가니까 도태되지 ㅉㅉ"
"582","그거 성별만 반전시켜보면 니들얘긴거 알지? 미러링하나는 뛰어나네 ㄹㅇ"
"583","페미들 발작하면 본인들의 행실을 정확히 알고있다는거네"
"584","페미년들한테 걸러지는 건 인생 잘 살고있다는 표본이지 ㅋㅋㅋ 그걸 인정못하고 부리부리 야부리노"
"585","저러다 결혼할때 되면 허버허버 과거 폐미똥글 싸지른거 세탁하기바쁨ㅋ"
"586","팩트: 페미니즘은 정신적인 병이다.또한 본인들은 양남들에게 거름당하는 것이 무서워 설문조사 같은 건 꿈도 꾸지 못한다. 그런데 유튜버가 진행한 설문조사에서 양남한남 할것없이 한국 페미를 극혐하는 것으로 나왔고 얼마 전 미국에서 찍힌 영상 중 하나는 즈그들이 찬양해 마지않는 양남이 페미니스트 줘패는 영상이다.진정한 '떡 줄 사람 생각도 않는데 김칫국 마신다'의 표본 ^오^"
"587","여혐만화 ㅇㅈㄹ ㅋㅋ 지들도 풍자당한걸 알기는 하네??"
"588","인륜을 저버리고 무한을 택한 10가주유한성 인류를 저버리지않고 유한을 택한 별 유한성..?"
"589","야스라챠 고양이라서 그런가 성격 개띠껍네 ㅋ"
"590","어이... 만신이다..."
"591","베충이새기들 싫어하듯정상적인 여성이나 남성들은 페미 죨라 싫어하더라. 특히 정상적인 여성들은 페미랑 엮이면 기분 잡친다고 함 ㅋ"
"592","아닌가....? 못 보던 화가 2개나 있어서"
"593","근데 쟤 귀가 총 4개인데 사람귀로 들을까 냥냥귀로 들을까???"
"594","한남들 미더덕달고 여혐만화보고 있을거 생각하면... 우욱"
"595","근데 어제 미리보기 2개 올라왔어요..?"
"596","Wony/ ㅈㅅ ㅋㅋ 병ㅅ은 보이면 패야하는 병이있어서 ㅋㅋ"
"597","한남아... 길가다 아무나 잡고 물어보고 양남 한남 설문조사 해보라니까? 한남들이 도태된것을 받아들이기가 그렇게 힘들일인가;; 떼잉 ㅉ"
"598","아 다음 화 걱정되는데?밤 사시때문에 무료화되면 잼민이들이 ㅈㄴ 별테할 것 같음."
"599","아 그랬구나...죄송함다 궁예님스나이퍼님도 어떤 기분인지 알겠지만 그만...계속 저러면 안끝나요"
"600","네이버 원탑 ""시우"""
"601","한남이 한국남자잖아 개빠가사리야 ㅋㅋㅋ 한국여자 전체가 페미가 되지않는 이상은 그럴일 없으니 입다무시고 ㅋㅋ 아 근데 정상인은 전부 페미싫어하더라 ㅇㅇ 동서양 관계없이"
"602","예전에 재미있게 보다가 여혐 내용있다고 해서 와봤더니 독자들부터 한남 쉰냄새 오지게나네..."
"603","Wony님 저 만화 얘기 계속 함."
"604","유한성도 홍등가 왕자 아님???"
"605","분량 많은게 쓸대없는 내용이 너무 많다 소설책이여?실력 떨어지는 사람들이 원래 글자수로 때우거든"
"606","남혐이 아니라 한남혐인것을... 한남들 아직도 주제파악이 안되네... 한국 여자들 다 너네 싫어한다고 ㅋㅋㅋ"
"607","허버허버 댓글달러왔노^^ 쿵쾅폐미 댓글싸대는게 인생의 업적임.그러다 이제 30 넘어서 결혼도 못하네? 쒸익쒸익ㅋ 아줌마폐미를 누가 데려가요ㅋ 오^^ 알아서 혼자늙다가 도태되거나 얼른 폐미세탁하고 한남 기생하는 거나 하는 한심한년들ㅉㅉ배알도없낰ㅋㅋ"
"608","이상하네 엑스트라 분량 몰아줬다고 욕하는 베댓이 없다고? 이걸 현실풍자라는걸 이해한다고?역시 명작이 돌아오니 독자들도 깨끗해지네"
"609","한남ㅊ 니들이 쓰는말인데 뭔 상상력드립이야 ㅋㅋㅋ 넌 페미가 아니라 제 3의 남혐론자냐 그럼?"
"610","아ㅋㅋ 꼴페미 송이버섯 살 ㅈㄴ 많이 쪘는데 어떻게 뼈만 골라치냐구ㅋㅋ"
"611","잘나신 꼴페미가 쓴 대학논문에도 나왔는데"
"612","그럼 한국남자지 외국남자냐?지금 다 한국말 쓰고있는데 외국인인 사람이 있겠냐"
"613","한남ㅊ=한남유충 줄임말이라고"
"614","한남유충이라니... 한남들 상상력 대단하다!"
"615","한국여자 중엔 니들같은 혐오론자가 없는데 같이 패는게 맞는거냐 그럼?학창시절에 일진옆에 있었다고 존ㄴ 쳐맞은 기억이 새록새록 떠올라서 저지랄인가 진짜 ㅋㅋㅋ 아찔하네"
"616","ㅋㅋㅋㅋ야스라챠 쳐 들어간 마을에 라샹족 절반은 다 죽여놓고 하라챠보고 군에 들어오라는데 인성 ㅋㅋㅋㅋㅋㅋ얼굴이 귀여우니 봐둔DA"
"617","한남들 일반 한녀한테도 거름당하는거 모르고 끝까지 페미찾는거 보면 애잔해 ㅠㅠㅠ 결국 한녀 못잃어서 끝까지 페미만 패려고하고 ㅋㅋㅋ"
"618","공산주의와 사회주의를 비판하는 느낌을 받아서 기분이 좋습니다."
"619","야스라챠는 죄 없는 라샹족 마을로 굳이 왜 쳐 들어가냐.뭐만 하면 쳐 들어가냐"
"620","어휴... 양녀 유충이래 ㅋㅋㅋ 도태한남들 성취향=페도필리아인거 입증해주시네..."
"621","무슨 웹툰만보면 베댓들 의미넣어서 조장하는거 역겹긴하다"
"622","Thec1 저게 페미가 남자인척 글싸지르는거지"
"623","군캉스 군캉스 나도 보내줘~ 노래 부르더니 사건 터지니까 이런 곳에 왜 보내려는지 이해가 안간다는 능지ㅋㅋ"
"624","죄없는 사람들한테 아무이유없이 남혐해대는게 페미잖아 ㅋㅋ 미러링당하니까 ㅈ같니?"
"625","군캉스라고 언급 1도 안했는데 혼자 부들부들하면서 군캉스라고 하는거 보면 편하긴 편한가봐? 큐ㅠㅠ"
"626","마치 대깨문 ㅅㄲ들을 보는거 같네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"627","애들도 많이 보는 웹툰에서 댓글로 뭔말들을 하고 있는거냐 진짜 다들 미친거지;"
"628","한녀슴가특 = 양녀유충 보다 작음 ㅋㅋ"
"629","핸드폰 들고가는 유사군대같으면 니들도 하라니까?? 군캉스 운운하면서 왜 안해 ㅋㅋ 진짜 바캉스마냥 편해보이면 휴가간다 치고 일년반동안 뺑이치고와 ㅋㅋ"
"630","판타지물에 이 정도 퀄리티, 그림체라니...분량도 쩐다b"
"631","AAA컵 고치라고 하면서도 성형수술한다고 여혐해대는게 한남이잖아 ㅋㅋ"
"632","페미들이 여혐글 써놓고 남자인척 하는게 너무 역겨워 에욱.."
"633","야스라챠 귀엽게 생김"
"634","임신도 ""해줘"""
"635","나만 그분들이 떠오른게 아니군 ㅋㅋㅋㅋㅋㅋㅋ"
"636","페미들 무시하고 내비둬서 지금 이지경난거잖아왜 무시하고 그냥 내비둬야되는건데말도안되는거 요구하고 딴지걸면 받아쳐내야지계속 받아주니 말도안되는걸 당연한듯 요구하잖아"
"637","한남 편하게 사는거 맞지 ㅋㅋㅋ 한남들이 군쾅대는 군대조차 핸드폰 들고가고 놀러나오는 유사군대에 여자보다 스펙 떨어져도 대학이나 취업에서 유리하잖아 ㅋㅋㅋ 여혐민국 한남민국 살면서 이거 부정하면 능지문제지..."
"638","페미들 주특기가 선동 날조잖아ㅋㅋ 남자인 척 여혐 댓글 싸질러놓고 그대로 여초 사이트에 캡쳐해가서 갈등 조장 일으키는거여자들 편하게 산다고 댓글 단 애들 중에 진짜 남자가 몇명이나 될까?"
"639","내 댓글도 묻히려나"
"640","난 여자가 편하게 산다고 말한 적 단 한번도 없어요~ 찔려서 섀도우복싱 하는 폼이 메이웨더 뺨치겠네"
"641","님들페미들 걍 깡그리 무시해버리고 작가님 복귀하셨을 때 댓글 10만 만들기 기념으로 하던 '영차'로 묻는 거 어때요?"
"642","할일이 없으니 폰 붙잡고 저러지ㅉㅉ 니가 스스로 집안일하고 밥 차려먹으면 시간도 없을거다 엄마한테 반찬 뭐 해달라 그만하고 계란말이라도 알아서 해먹어"
"643","여자도 고생하는건 인정하니까 햇님이는 조용히하고송이버섯이랑 kkh 니네는 논리적으로 대꾸할 가치도 없으니까 닥치고"
"644","노력도 안하고 얻으려고만 하고 힘도 없으면서 욕심만많고 결국은 저렇게 전멸인가"
"645","아카자닮은거같아..."
"646","저 댓글 말하는거 보면 진짜 같은 여자인게 부끄럽다 무식한 사람이 신념을 가지면 무섭다는 이경규 말은 연전연승이네"
"647","다 닥치고 웹툰 얘기나 해사상 얘기를 할 거면 어디 토론회나 가세요"
"648","누가 남자는 고생 안한댔냐. 반페미 한답시고 여자는 편하게 산다 웅얼웅얼ㅋㅋㅋㅋ그래놓고 엄마가 차려놓은 밥 먹고 또 폰들고 여자는 편하게 웅얼웅얼 찌질한놈아"
"649","안 보면 인생을 헛 산것이긴 한데 처음 본 사람들한테 정주행하라고 하기에는 자지 말라는 소리랑 같닼ㅋㅋㅋㅋ회차도 많은데 분량도 꾸준하니까 ㅋㅋㅋㅋ"
"650","ㅋㅋㅋㅋㅋ 임신도 대신 ‘해줘’ 진짜 골 때리네ㅋㅋㅋ"
"651","페미든 반페미든 다 닥치고 웹툰 얘기나 해사상 얘기를 할 거면 어디 토론회나 가세요"
"652","인기급상승 만화 2위!"
"653","피해 망상으로 몰고 가고 싶은거겠지~ 내가볼땐 82년생 김지영부터가 망상영화같은데 그지?"
"654","하다하다 이제는 임신도 해줘????페미들 진짜 정신나갔음"
"655","시우 만화?? 안보면 인생을 헛산것"
"656","그냥 딱 하나만 봐도 알거야 코로나 터지고 세상 잘 돌아가는 이유가 목숨거는 의료진들 덕분인데 그게 다 간호사분들 덕분이란거. 성별 나누고 싶지 않지만 그분들 대다수가 여성분들이시고 니가 코로나 걸려도 치료해주시겠지. 여자가 편하게 산다 이딴말은 제발 좀 집어치워라"
"657","아버지는 직장에서 상사한테 까여 일에 치여 뼈빠지게 돈벌어와서 입혀줘 먹여줘 재워줘 다해주는데 어디서 이상한 ㅂ신같은 사상에 물들어온 딸년이 한남ㅊ 소리 해가면서 돈빨아먹는 모기짓을하네? 꼬라지 잘~ 돌아간다"
"658","유한성 개이쁘다"
"659","남자 임신 못해 진심 무뇌들아."
"660","햇님 말대로 여자가 군대가면 남자가 임신하던가 ㅠㅠ"
"661","스나이퍼는 진짜 피해망상 조지네ㅋㅋ 남자가 꼭 임신 가능하길 바란다"
"662","한남들 또 군쾅군쾅 군무새 나왔다 ㅉㅉ 에휴 한심해"
"663","매끼 밥 해주는 것도 힘든일인데 너 낳고 너 밥먹이고 아들이라고 무한정 사랑준것도 엄마인데 엄마는 경력단절되서 취직도 힘든데 아들새끼는 여자는 편하게 산다하네ㅋㅋ 꼬라지 잘~ 돌아간다"
"664","마지막 감동적임 ㅠ"
"665","유한성 신탑 초기 때는 그냥 ㅈㄴ예쁜 수준이었는데 이제는 화려한 여자같음 ㅋㅋㅋㅋ남자긴 한데...."
"666","Wony야 무관심은 평소에 너가 여자들한테 받는거지 ㅉㅉ 하긴 그러니까 도태되서 이런 여혐만화나 보는거겠지"
"667","논문도 있음 세상 진짜 어려울때 지금처럼 코로나 시국에 가장 힘들고 목숨걸어야 되는 의료진 비율 현장에서 뛰는건 여자비율이 높고 의사 등 고위직은 죄다 남자가 차지한다는데 정작 목숨 걸 땐 여자한테 다 떠미는 부분도 있음. 물론 공사현장 등 다른 힘쓰는 일은 죄다 남자들이 하는데 의료진들 생각해도 그렇게 여자는 편하다 눈깔빠진 소릴 해야겠나"
"668","ㄹㅇ 한남들 “해줘”하는거 보면 정떨어짐 ㅋㅋ"
"669","넌 바이러스 치료하는 게 대다수 여성간호사인 건 보이는데 군대 강제로 끌려가는 대다수 남성들은 안보이나봐? 햇님아 깨어있는 척 하지 마 ㅋㅋ 이미 니 논리에서 페미라는 게 드러나고 있어 ㅎㅎ"
"670","훠라챠 ㅋㅋ"
"671","yyy 82키로 한남 말하는거 맞지?"
"672","진짜 해줘 이러는애들 정 떨어짐"
"673","근데 야스라챠처럼 묘족인 애들은 적인데 다 귀엽게 생겼냐."
"674","햇님님아 ㅋㅋㅋ 여혐종자들 무시하세요 ㅋㅋㅋ 여기 여혐 만화라 정상인 없는듯"
"675","페미""해줘"""
"676","양남 절반 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 서양인은 키가 3미터 넘어간다디? 방구석에 처박혀서 컴퓨터로 세상배운티가 나네 ㅋㅋㅋ 나가서 활동 좀 해라 살도 좀 빼고 ㅋㅋㅋ 무식이 하늘을 찌르네 ㅋㅋㅋㅋ 무기 기술력을 논해야 자주국방 얘기가 나오는데 말은 지가꺼내놓고 밀리니까 말바꾸는 지능은 대체 어디서나오냐? 돌고래도 니보다는 영리하지싶다"
"677","ㅁㅊ것들이 여자면 죄다 편하게 사는줄 아니까 빡치지 내가 남자는 편하게 산다 이러면 안빡치겠냐?"
"678","kkh 송이버섯 현실에서 보면 자기관리 안하고 아버지돈만 빨아쓰면서 정작 남자 욕하는 인생패배자 돼지일 가능성 99퍼"
"679","한남들이 해줘하는거 한국 여자들이 언제까지 들어줘야해?"
"680","정작 목숨걸고 바이러스 감염치료에도 뛰어드는거 대다수가 여성 간호사인데 그런건 안보이지?"
"681","햇님 페미아닌척 오지네니가 하는짓이 페미야 뇌가리 돌아가셨나언제 여자들을 욕했냐해줘거리는 페미를 욕하는거지"
"682","해줘 세대ㅋㅋㅋㅋㅋ"
"683","팩트로 맞으니까 신고한데 큐ㅠㅠㅠ 이게 한남 수준 ㅋㅋㅋ"
"684","그래서 여자들이 뭐에 편승했는데 말이나 해봐 아는거 없으면서"
"685","시우 빨리 내쿠키 가져가 정신 나갈꺼 같아 !!!!!"
"686","키는 호빗처럼 양남 반도 안되고 애국심 1도 없으면서 한남들 무기 기술력 웅앵웅하는거 보면 그저..."
"687","진짜 kkh랑 송이버섯 익명세상이라고 선 넘는 발언을 많이 하네;; 댓글 다 신고 함."
"688","페미들뿐만 아니라 거기에 편승해서 은근슬쩍 혜택 누리려고 묻어가는 여자들도 똑같은 족속들이야. 뭔 페미만의 잘못이냐. 머리는 모자걸이가 아니다."
"689","페미얘기 싫지만 그래서 여성우월주의 때문에 남자는 취직에 차별받고 경력단절되고 정치인 대다수가 여자고 앞으로 대통령도 여자만 뽑힐거냐고... 죄다 가져놓고 몇몇이 인터넷으로 욕한다고 객관성이 없네"
"690","오니니나레 밤!"
"691","시우의 만화를 보지않는건 인생을 헛산거다."
"692","거의 뭐 전라디언이네"
"693","정작 진짜 여성인권이 하늘같아서 남자들 취직에도 제한받고 갑부랑 정치인들 죄다 여자만 있는것도 아닌데 피해망상에 시달려가지고 정치를 떠나서 여자면 투표안하고 그저 페미 하나에 매달려서 특정 정치인 지지하는거 소름끼쳐죽겠네ㅋㅋ 잘못된 페미가 잘못한건데 여자 전체가 남자보다 아래에 있기를 원하는듯"
"694","한남들이 여자들 “해줘”로 몰아가는것도 겁나 웃김 ㅎㅎㅎ 양남들한테 국방 “해줘” 집구석에서 엄마한테 밥“해줘” 한국여자한테 일도 지기 싫어하고 양보도 안하면서 연애“해줘” 이쯤되면 애잔하다 ㅉㅉ"
"695","kkh같은 부류들이 페미도 맞지만 남 잘 되는 꼴 보기 싫은 사람이어서 무조건 '비난'할 것만 찾는 정신병자같음.근데 여혐 발언하는 거는 선을 넘은 것 같은데? 신의 탑에서 단 한번도 성별에 관한거 발언한 적 없는데 진짜 별의 별 ㅈㄹ을 다한다."
"696","벌레같은 페미들특) 지들이 지금까지 받은 특혜는 생각않고 전세대 여성들이 겪은 차별을 지들이 보상받으려함"
"697","좌표찍힌거 아이가 ㅋㅋㅋㅋ 쿵쾅돼지들 좌표찍어봤자 모순론자들의 개소리라 쫄리지는 않는다만"
"698","라샹족 지도부도 남성으로 묘사되었고 라샹족에 대한 이야기인데 어째서 패미를 까는거라고 여혐만화라고 하는지 이유를 모르겠다 노력은 안하고 요구만 한다는 부분? 그게 찔린다면 너 자신을 돌아봐라 여자들이라고 다 그러냐 남자중엔 그런사람없냐 그냥 니 인생이 찔리니까 너를 여자로 묶은다음 욕하는거 아니냐 열심히 살아가는 여성들이 얼마나 많은데 싸잡아서 한심하게 만들지마라"
"699","언냐들출동했노 ㅋㅋㅋㅋㅋㅋㅋㅋ"
"700","햇님아 쟤들이 먼저 성희롱한 건 못봤냐? ㅋㅋㅋ 가만있는데 성희롱당한 우리는 안보이나봐? 역시는 역시 역시다 ㄹㅇ"
"701","앞으로 네이버웹툰 원탑 만신은 이학이 아니라 빛시우다."
"702","저게 어딜봐서 페미얘기냐ㅋㅋㅋㅋ뇌가 찌들었나 난 소외계층 생각났는데"
"703","싫어. 그건 우리도 가지고 있잖아."
"704","진짜 이준석이 대통령이 되어야한다 제발 ㅋㅋㅋ 우리 개같은 문크는 페미지원하면서 나라말아먹기에 큰 공을 세우는중"
"705","페미 저격하는 빛시우 네이버 원탑 답다"
"706","kkh의 여러모로 대단한 업적.전전화에서 그림체 깜전 화에서는 재미없다고 혼자 발광을 함.이번 화에서는 여혐 별ㅈㄹ을 함.하다하다 깔 게 없어서 이제는 신의 탑에 전혀 관련 없는 여혐이라고 하냐?ㄹㅇ 사이비종교"
"707","신의탑은 항상 엑스트라에게도 서사를 부여하는 게 좋다. 그냥 마주치면 죽이고 지나가는 게 끝이 아니라 그 사람에게도 삶과 사연이 있다는 걸 보여주는.."
"708","뭐가 잘못이란건지.. 애초에 소수민족 가만히 냅뒀으면 협박당할일도 저렇게 망가질 일도 없었을텐데 남의 종족가지고 협박한 묘족때문인데"
"709","순수하게 자신의 일족을 사랑해서 싸우던 엑스트라는 지고 나사 하나 풀린 마음가짐의 유한성이 이기네요라헬을 쫓아 탑을 오르다가 이젠 다른 이유가 생긴 밤과 비슷한 것 같고 탑이란 순수한 마음만으로 오를 수 없는곳이라는걸 보여주는 것 같기도 하고요"
"710","정신병자가 맞다. 페미는 정신병자들이 서로 ×빨해주는 집단이니까"
"711","페미들 풍자같음."
"712","그렇게 보면 안되는건 아는데...자꾸만 그쪽으로 보이는걸..."
"713","송이버섯하고 kkh 이 정도면 정신병자 수준 같다 ㄷㄷ"
"714","크으 오늘꺼 영화한편 본것 같네"
"715","SIU도 결국 한국 남자... 쿠키 어떤 성별이 쓰고 있는지 생각좀 했다면 여혐 안했을텐데... 결국 한남 티를 내네 큐ㅠㅠ"
"716","kkh 무슨 심정인지도 모르겠고 뇌에 뭐가 들어있는지 궁금함.어딜봐서 이게 여혐임? 아니 성별에 관해서 얘기가 나온거면 모르겠다만, 이건 판타지 웹툰이고 그냥 자기 종족을 사랑해서 그런다는 설정이라고 대놓고 나와있는데 ㅈㄹ좀 그만하자 진짜."
"717","팩트: 순위상 신의탑이 소녀의 세계보다 위에 있다. 소녀의 세계 재밌는 건 맞지만 뛰어넘었다 드립 치려면 일단 순위부터 올리고 와라^^주작이! 없으면! 혐오를! 못해요! ㅂ신같은! 페미년들!"
"718","김경희 페미짓 그만해라"
"719","여혐만화라고 난리치는 것 자체가 지들이 찔렸다는 반증이지 ㅋㅋ 즈그들도 알고 남들도 아는 '그 집단'의 모순."
"720","화난건 찔려서 그런거겠지... 으휴. 재미만있구만 작가님 꽃길만 걸어요"
